"job__","issued_date","expired_date","address","Borough","LOT","Bin","Block","c_b_no","LATITUDE","LONGITUDE","CENSUS_TRACT","geometry","name"
"Q08001275-I1",2022-09-22 12:00:00,2023-09-22 04:00:00,"32-53 101 STREET","QUEENS",39,4624119,1696,403,0,0,0,list(),NA
"X00661832-I1",2022-01-14 12:00:00,2023-01-14 05:00:00,"2714 CRESTON AVENUE","BRONX",38,2017424,3314,207,0,0,0,list(),NA
"M00637055-I1",2022-11-21 12:00:00,2023-11-06 12:00:00,"323 EAST 79 STREET","MANHATTAN",13,1049249,1542,108,0,0,0,list(),NA
"X00731450-I1",2023-08-30 12:00:00,2023-12-26 12:00:00,"3633 KINGSBRIDGE AVENUE","BRONX",882,2083862,5766,208,0,0,0,list(),NA
"Q00588328-I1",2021-09-09 12:00:00,2022-01-25 05:00:00,"222-25 JAMAICA AVENUE","QUEENS",48,4827031,10741,413,0,0,0,list(),NA
"B00531631-I1",2021-10-28 12:00:00,2022-10-14 04:00:00,"19 ST FELIX STREET","BROOKLYN",27,3827362,2097,302,0,0,0,list(),NA
"Q00572481-I1",2022-09-09 12:00:00,2023-09-09 04:00:00,"89-07 148 STREET","QUEENS",50,4618358,9681,412,0,0,0,list(),NA
"M00582274-I1",2022-08-18 12:00:00,2023-06-27 04:00:00,"126 EAST   57 STREET","MANHATTAN",60,1036892,1311,105,0,0,0,list(),NA
"B00736642-I1",2022-05-13 12:00:00,2023-05-13 04:00:00,"441 WILLOUGHBY AVENUE","BROOKLYN",1,3048740,1758,303,0,0,0,list(),NA
"Q00754144-I1",2023-06-30 12:00:00,2024-01-06 12:00:00,"26-25 4 STREET","QUEENS",9,4020649,909,401,0,0,0,list(),NA
"X08030454-I1",2022-11-01 12:00:00,2023-06-09 04:00:00,"2136 MATTHEWS AVENUE","BRONX",12,2049445,4323,211,0,0,0,list(),NA
"S00558080-I1",2021-07-15 12:00:00,2022-07-15 04:00:00,"2230 RICHMOND TERRACE","STATEN ISLAND",73,5025552,1084,501,0,0,0,list(),NA
"B00647747-I1",2021-12-15 12:00:00,2022-12-15 05:00:00,"1036 OCEAN PARKWAY","BROOKLYN",911,3853124,5495,312,0,0,0,list(),NA
"X00685465-I1",2022-04-01 12:00:00,2023-04-01 04:00:00,"3450 BAINBRIDGE AVENUE","BRONX",283,2128378,3343,207,0,0,0,list(),NA
"M00636399-I1",2021-12-02 12:00:00,2022-12-02 05:00:00,"356 EAST   78 STREET","MANHATTAN",30,1080482,1452,108,0,0,0,list(),NA
