address,c_b_no,Borough
32-53 101 STREET,403,QUEENS
2714 CRESTON AVENUE,207,BRONX
323 EAST 79 STREET,108,MANHATTAN
3633 KINGSBRIDGE AVENUE,208,BRONX
222-25 JAMAICA AVENUE,413,QUEENS
19 ST FELIX STREET,302,BROOKLYN
89-07 148 STREET,412,QUEENS
126 EAST   57 STREET,105,MANHATTAN
441 WILLOUGHBY AVENUE,303,BROOKLYN
26-25 4 STREET,401,QUEENS
2136 MATTHEWS AVENUE,211,BRONX
2230 RICHMOND TERRACE,501,STATEN ISLAND
1036 OCEAN PARKWAY,312,BROOKLYN
3450 BAINBRIDGE AVENUE,207,BRONX
356 EAST   78 STREET,108,MANHATTAN
25-21 BROADWAY,401,QUEENS
2111 RICHMOND TERRACE,501,STATEN ISLAND
1600 GRAND AVENUE,205,BRONX
2428 BRONX PARK EAST,211,BRONX
335 RALPH AVENUE,303,BROOKLYN
5-01 47 ROAD,402,QUEENS
71 GATEWAY DRIVE,305,BROOKLYN
2 WEST   47 STREET,105,MANHATTAN
31-29 CRESCENT STREET,401,QUEENS
97-48 64 AVENUE,406,QUEENS
101 FLEET PLACE,302,BROOKLYN
1485 2 AVENUE,108,MANHATTAN
675 EAST   32 STREET,317,BROOKLYN
2736 CRESTON AVENUE,207,BRONX
825 GATES AVENUE,303,BROOKLYN
14 WEST   45 STREET,105,MANHATTAN
25 STEWART AVENUE,301,BROOKLYN
1487 1 AVENUE,108,MANHATTAN
10 WEST   47 STREET,105,MANHATTAN
168 WEST  225 STREET,208,MANHATTAN
100 FLATBUSH AVENUE,302,BROOKLYN
1393 YORK AVENUE,108,MANHATTAN
1607 VILLAGE LANE,414,QUEENS
46-24 76 STREET,404,QUEENS
715 EAST  212 STREET,212,BRONX
415 MADISON AVENUE,105,MANHATTAN
16 5 AVENUE,102,MANHATTAN
89 THROOP AVENUE,301,BROOKLYN
1245 EDWARD L GRANT HIGHWAY,204,BRONX
525 6 AVENUE,102,MANHATTAN
212 SKILLMAN STREET,303,BROOKLYN
2 FOUNTAIN AVENUE,305,BROOKLYN
35 KINGSTON AVENUE,303,BROOKLYN
26-06 JACKSON AVENUE,402,QUEENS
78-29 AUSTIN STREET,406,QUEENS
57-14 B GRANGER STREET,404,QUEENS
2347 MORRIS AVENUE,205,BRONX
688 6 AVENUE,307,BROOKLYN
41 SUMMIT STREET,306,BROOKLYN
1568 AIR BROADWAY,105,MANHATTAN
81-42 UTOPIA PARKWAY,408,QUEENS
24 EAST  103 STREET,111,MANHATTAN
250 EAST TREMONT AVENUE,205,BRONX
621 ROGERS AVENUE,309,BROOKLYN
586 GERARD AVENUE,204,BRONX
123 WEST   57 STREET,105,MANHATTAN
65 DUPONT STREET,301,BROOKLYN
98-60 QUEENS BOULEVARD,406,QUEENS
8 WEST   45 STREET,105,MANHATTAN
1514 MADISON AVENUE,111,MANHATTAN
98-10 63 ROAD,406,QUEENS
2249 NOSTRAND AVENUE,314,BROOKLYN
55 SUMMIT STREET,306,BROOKLYN
12 WEST   45 STREET,105,MANHATTAN
108 SAINT EDWARDS STREET,302,BROOKLYN
100 16 STREET,307,BROOKLYN
163-13 BAISLEY BOULEVARD,412,QUEENS
1420 PELHAM PARKWAY SOUTH,211,BRONX
32-05 GREENPOINT AVENUE,402,QUEENS
35-15 146 STREET,407,QUEENS
1822 MOHEGAN AVENUE,206,BRONX
1015 EAST GUN HILL ROAD,212,BRONX
42-10 147 STREET,407,QUEENS
1615 CEDAR STREET,314,BROOKLYN
138-25 BARCLAY AVENUE,407,QUEENS
1393 YORK AVENUE,108,MANHATTAN
1345 3 AVENUE,108,MANHATTAN
1591 JESUP AVENUE,205,BRONX
33-41 97 STREET,403,QUEENS
219 FORDHAM STREET,210,BRONX
1281 HOE AVENUE,203,BRONX
2136 BEDFORD AVENUE,314,BROOKLYN
2226 3 AVENUE,111,MANHATTAN
142 HURON STREET,301,BROOKLYN
312 CONEY ISLAND AVENUE,307,BROOKLYN
231 BOWERY,103,MANHATTAN
196 16 STREET,307,BROOKLYN
383 EAST  201 STREET,207,BRONX
200 PARK AVENUE,105,MANHATTAN
123 WEST   57 STREET,105,MANHATTAN
52-35 74 STREET,405,QUEENS
1140 2 AVENUE,108,MANHATTAN
159 BOERUM STREET,301,BROOKLYN
20 MONITOR STREET,301,BROOKLYN
1827 WATERLOO PLACE,206,BRONX
2-14 54 AVENUE,402,QUEENS
489 STATE STREET,302,BROOKLYN
104-20 125 STREET,410,QUEENS
36-31 31 STREET,401,QUEENS
568 GRAND STREET,301,BROOKLYN
645 EAST    9 STREET,103,MANHATTAN
959 ANDERSON AVENUE,204,BRONX
747 ROSEDALE AVENUE,209,BRONX
1487 2 AVENUE,108,MANHATTAN
2702 CRESTON AVENUE,207,BRONX
141-57 NORTHERN BOULEVARD,407,QUEENS
