"address","c_b_no","Borough"
"2375A LORILLARD PLACE","206","BRONX"
"311 EASTERN PARKWAY","308","BROOKLYN"
"163-07 72 AVENUE","408","QUEENS"
"14-41 BROADWAY","401","QUEENS"
"2266 PACIFIC STREET","316","BROOKLYN"
"1081 TIFFANY STREET","202","BRONX"
"58 WEST 39 STREET","105","MANHATTAN"
"193 13 STREET","NA","BROOKLYN"
"246 EAST 83 STREET","108","MANHATTAN"
"1528 1 AVENUE","108","MANHATTAN"
"853 KENT AVENUE","303","BROOKLYN"
"1612 59 STREET","312","BROOKLYN"
"170 WEST  225 STREET","208","MANHATTAN"
"722 ST LAWRENCE AVENUE","209","BRONX"
"2371 8 AVENUE","110","MANHATTAN"
"1610 NEW YORK AVENUE","317","BROOKLYN"
"18 FULTON STREET","101","MANHATTAN"
"27-04 ASTORIA BOULEVARD","401","QUEENS"
"53 NORTH    6 STREET","301","BROOKLYN"
"429 TOMPKINS AVENUE","303","BROOKLYN"
"811 ELSMERE PLACE","206","BRONX"
"20 LUQUER STREET","NA","BROOKLYN"
"10 COFFEY STREET","306","BROOKLYN"
"26-25 4 STREET","401","QUEENS"
"1024 MANHATTAN AVENUE","301","BROOKLYN"
"5716 7 AVENUE","307","BROOKLYN"
"303 POWELL STREET","316","BROOKLYN"
"102 WEST   14 STREET","102","MANHATTAN"
"2732 CRESTON AVENUE","207","BRONX"
"1080 WASHINGTON AVENUE","203","BRONX"
"453 ONDERDONK AVENUE","405","QUEENS"
"21-18 44 DRIVE","402","QUEENS"
"331 EAST 82 STREET","108","MANHATTAN"
"1661 54 STREET","312","BROOKLYN"
"136-15 38 AVENUE","407","QUEENS"
"49 WEST  128 STREET","110","MANHATTAN"
"42-61 SAULL STREET","407","QUEENS"
"226 WITHERS STREET","301","BROOKLYN"
"4746 WHITE PLAINS ROAD","212","BRONX"
"65-27 ROOSEVELT AVENUE","402","QUEENS"
"1110 CASTLETON AVENUE","501","STATEN ISLAND"
"699 JEFFERSON AVENUE","303","BROOKLYN"
"23-10 45 AVENUE","402","QUEENS"
"726 8 AVENUE","105","MANHATTAN"
"807 WASHINGTON AVENUE","308","BROOKLYN"
"17 HANOVER PLACE","302","BROOKLYN"
"116 HOPE STREET","301","BROOKLYN"
"30-41 31 STREET","401","QUEENS"
"537 SACKETT STREET","306","BROOKLYN"
"1475 60 STREET","312","BROOKLYN"
"210 NORTH 12 STREET","301","BROOKLYN"
"1091 AMSTERDAM AVENUE","109","MANHATTAN"
"1504 MACOMBS ROAD","204","BRONX"
"50 BUFFALO AVENUE","303","BROOKLYN"
"1518 1 AVENUE","108","MANHATTAN"
"156 SOMERS STREET","316","BROOKLYN"
"20-10 MOTT AVENUE","414","QUEENS"
"150 EAST   91 STREET","108","MANHATTAN"
"42-22 ORCHARD STREET","402","QUEENS"
"32-10 111 STREET","403","QUEENS"
"3916 15 AVENUE","312","BROOKLYN"
"45-26 PEARSON STREET","402","QUEENS"
"600 CROWN STREET","309","BROOKLYN"
"1370 VIRGINIA AVENUE","209","BRONX"
"141-37 71 AVENUE","408","QUEENS"
"3 EAST   89 STREET","108","MANHATTAN"
"279 SUMPTER STREET","316","BROOKLYN"
"1091 AMSTERDAM AVENUE","NA","MANHATTAN"
"836 EAST 165 STREET","203","BRONX"
"183 CHRYSTIE STREET","103","MANHATTAN"
"6315 FT HAMILTON PARKWAY","310","BROOKLYN"
"2781 COYLE STREET","315","BROOKLYN"
"103 EAST 29 STREET","105","MANHATTAN"
"37-18 BROADWAY","401","QUEENS"
"8720 18 AVENUE","311","BROOKLYN"
"146 BAYARD STREET","301","BROOKLYN"
"1110 SURF AVENUE","313","BROOKLYN"
"95 GATEWAY DRIVE","305","BROOKLYN"
"461 ALABAMA AVENUE","305","BROOKLYN"
"122 WAVERLY AVENUE","302","BROOKLYN"
"97-11 SUTPHIN BOULEVARD","412","QUEENS"
"186 BEDFORD AVENUE","301","BROOKLYN"
"794 CLASSON AVENUE","308","BROOKLYN"
"293 HERKIMER STREET","303","BROOKLYN"
"1463 3 AVENUE","108","MANHATTAN"
"709 EAST 216 STREET","212","BRONX"
