address,c_b_no,Borough,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1 DEP PLAZA,101,MANHATTAN,"	40.712204",-74.001676,1,,Could not geocode address. No matches found.,,,,,,,,,
1 DEP PLAZA,101,MANHATTAN,"	40.712204",-74.001676,1,,Could not geocode address. No matches found.,,,,,,,,,
1 DEP PLAZA,101,MANHATTAN,"	40.712204",-74.001676,1,,Could not geocode address. No matches found.,,,,,,,,,
1 EVENTS PLAZA,206,BRONX,40.86050143,-73.88989062,1,,Could not geocode address. No matches found.,,,,,,,,,
1 EVENTS PLAZA,206,BRONX,40.86050143,-73.88989062,1,,Could not geocode address. No matches found.,,,,,,,,,
1 ORCHARD BEACH,228,BRONX,40.868714,-73.810703,0.85,range_interpolation,1,Orchard Beach Rd,,,Bronx,NY,Bronx County,10464,US,TIGER/Line® dataset from the US Census Bureau
1 PUTNAM AVENUE,302,BROOKLYN,40.682856,-73.961229,0.87,nearest_rooftop_match,29,Putnam Ave,,,Brooklyn,NY,Kings County,11238,US,City of New York
1 SULLIVAN PLACE,309,BROOKLYN,40.724034,-74.004272,1,range_interpolation,1,Sullivan St,,,New York,NY,New York County,10012,US,TIGER/Line® dataset from the US Census Bureau
1 WELDING ROAD,302,BROOKLYN,40.70068319,-73.96649866,1,,Could not geocode address. No matches found.,,,,,,,,,
10 CLAY STREET,301,BROOKLYN,40.736473,-73.958155,0.9,range_interpolation,10,Clay St,,,Brooklyn,NY,Kings County,11222,US,TIGER/Line® dataset from the US Census Bureau
10 COFFEY STREET,306,BROOKLYN,40.673754,-74.010677,0.9,range_interpolation,10,Coffey St,,,Brooklyn,NY,Kings County,11231,US,TIGER/Line® dataset from the US Census Bureau
10 LENOX AVENUE,110,MANHATTAN,40.798584,-73.951875,1,rooftop,10,Lenox Ave,,,New York,NY,New York County,10026,US,City of New York
10 MONTIETH STREET,304,BROOKLYN,40.701293,-73.936434,0.9,rooftop,10,Montieth St,,,Brooklyn,NY,Kings County,11206,US,City of New York
10 WEST   47 STREET,105,MANHATTAN,40.756637,-73.978842,1,range_interpolation,10,W 47th St,,,New York,NY,New York County,10036,US,TIGER/Line® dataset from the US Census Bureau
10 WEST 47 STREET,105,MANHATTAN,40.756637,-73.978842,1,range_interpolation,10,W 47th St,,,New York,NY,New York County,10036,US,TIGER/Line® dataset from the US Census Bureau
10 WEST 55 STREET,105,MANHATTAN,40.761648,-73.975191,1,range_interpolation,10,W 55th St,,,New York,NY,New York County,10019,US,TIGER/Line® dataset from the US Census Bureau
10-20 BORDEN AVENUE,402,QUEENS,40.725492,-73.98375,0.82,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
100 16 STREET,307,BROOKLYN,40.735744,-73.989139,0.9,rooftop,100,E 16th St,,,New York,NY,New York County,10003,US,City of New York
100 16 STREET,307,BROOKLYN,40.735744,-73.989139,0.9,rooftop,100,E 16th St,,,New York,NY,New York County,10003,US,City of New York
100 FAIRVIEW AVENUE,112,MANHATTAN,40.857014,-73.930918,0.87,nearest_rooftop_match,68,Fairview Ave,,,New York,NY,New York County,10040,US,City of New York
100 FAIRVIEW AVENUE,112,MANHATTAN,40.857014,-73.930918,0.87,nearest_rooftop_match,68,Fairview Ave,,,New York,NY,New York County,10040,US,City of New York
100 FLATBUSH AVENUE,302,BROOKLYN,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,New York,NY,New York County,10009,US,City of New York
