address,c_b_no,Borough,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2375A LORILLARD PLACE",206,BRONX,40.856014,-73.889601,0.9,range_interpolation,2375,"Lorillard Pl",,,Bronx,NY,"Bronx County",10458,US,"TIGER/Line® dataset from the US Census Bureau"
"311 EASTERN PARKWAY",308,BROOKLYN,40.670614,-73.958639,0.9,range_interpolation,311,"Eastern Pkwy",,,Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"163-07 72 AVENUE",408,QUEENS,40.772228,-73.966079,0.8,nearest_rooftop_match,7,"E 72nd St",,,"New York",NY,"New York County",10021,US,"City of New York"
"14-41 BROADWAY",401,QUEENS,40.705982,-74.013006,0.9,range_interpolation,14,Broadway,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"2266 PACIFIC STREET",316,BROOKLYN,40.67531,-73.908939,0.9,rooftop,2266,"Pacific St",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
"1081 TIFFANY STREET",202,BRONX,40.825575,-73.894668,0.9,range_interpolation,1081,"Tiffany St",,,Bronx,NY,"Bronx County",10459,US,"TIGER/Line® dataset from the US Census Bureau"
"58 WEST 39 STREET",105,MANHATTAN,40.752238,-73.983768,1,range_interpolation,58,"W 39th St",,,"New York",NY,"New York County",10018,US,"TIGER/Line® dataset from the US Census Bureau"
"193 13 STREET",NA,BROOKLYN,40.737923,-73.999289,0.9,range_interpolation,193,"W 13th St",,,"New York",NY,"New York County",10011,US,"TIGER/Line® dataset from the US Census Bureau"
"246 EAST 83 STREET",108,MANHATTAN,40.776293,-73.954683,1,range_interpolation,246,"E 83rd St",,,"New York",NY,"New York County",10028,US,"TIGER/Line® dataset from the US Census Bureau"
"1528 1 AVENUE",108,MANHATTAN,40.772742,-73.952289,1,range_interpolation,1528,"1st Ave",,,"New York",NY,"New York County",10075,US,"TIGER/Line® dataset from the US Census Bureau"
"853 KENT AVENUE",303,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"1612 59 STREET",312,BROOKLYN,40.76031,-73.96411,0.6,street_center,,"E 59th St",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"170 WEST  225 STREET",208,MANHATTAN,40.875449,-73.912356,0.9,range_interpolation,170,"W 225th St",,,Bronx,NY,"New York County",10463,US,"TIGER/Line® dataset from the US Census Bureau"
"722 ST LAWRENCE AVENUE",209,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"2371 8 AVENUE",110,MANHATTAN,40.81169,-73.950269,1,range_interpolation,2371,"8th Ave",,,"New York",NY,"New York County",10027,US,"TIGER/Line® dataset from the US Census Bureau"
"1610 NEW YORK AVENUE",317,BROOKLYN,40.633409,-73.944984,0.9,rooftop,1610,"New York Ave",,,Brooklyn,NY,"Kings County",11210,US,"City of New York"
"18 FULTON STREET",101,MANHATTAN,40.706879,-74.003812,1,range_interpolation,18,"Fulton St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
"27-04 ASTORIA BOULEVARD",401,QUEENS,40.729878,-73.992414,0.9,nearest_rooftop_match,4,"Astor Pl",,,"New York",NY,"New York County",10003,US,"City of New York"
"53 NORTH    6 STREET",301,BROOKLYN,40.786973,-73.92141,0.61,nearest_rooftop_match,145,"6th Dr",,,"New York",NY,"New York County",10035,US,"City of New York"
"429 TOMPKINS AVENUE",303,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"811 ELSMERE PLACE",206,BRONX,40.842836,-73.88839,0.9,range_interpolation,811,"Elsmere Pl",,,Bronx,NY,"Bronx County",10460,US,"TIGER/Line® dataset from the US Census Bureau"
"20 LUQUER STREET",NA,BROOKLYN,40.679104,-74.005066,0.9,range_interpolation,20,"Luquer St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
"10 COFFEY STREET",306,BROOKLYN,40.673754,-74.010677,0.9,range_interpolation,10,"Coffey St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
"26-25 4 STREET",401,QUEENS,40.729066,-73.995339,0.8,nearest_rooftop_match,25,"W 4th St",,,"New York",NY,"New York County",10012,US,"City of New York"
"1024 MANHATTAN AVENUE",301,BROOKLYN,40.733979,-73.955039,0.9,nearest_rooftop_match,1025,"Manhattan Ave",,,Brooklyn,NY,"Kings County",11222,US,"City of New York"
"5716 7 AVENUE",307,BROOKLYN,40.760702,-73.983422,0.7,street_center,,"7th Ave",,,"New York",NY,"New York County",10019,US,"TIGER/Line® dataset from the US Census Bureau"
"303 POWELL STREET",316,BROOKLYN,40.66699,-73.903204,0.9,range_interpolation,303,"Powell St",,,Brooklyn,NY,"Kings County",11212,US,"TIGER/Line® dataset from the US Census Bureau"
"102 WEST   14 STREET",102,MANHATTAN,40.737253,-73.996956,1,range_interpolation,102,"W 14th St",,,"New York",NY,"New York County",10011,US,"TIGER/Line® dataset from the US Census Bureau"
"2732 CRESTON AVENUE",207,BRONX,40.868957,-73.893939,0.9,range_interpolation,2732,"Creston Ave",,,Bronx,NY,"Bronx County",10468,US,"TIGER/Line® dataset from the US Census Bureau"
"1080 WASHINGTON AVENUE",203,BRONX,40.663526,-73.960877,0.9,range_interpolation,1080,"Washington Ave",,,Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"453 ONDERDONK AVENUE",405,QUEENS,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"21-18 44 DRIVE",402,QUEENS,40.755252,-73.981311,0.6,nearest_rooftop_match,20,"W 44th St",,,"New York",NY,"New York County",10036,US,"City of New York"
"331 EAST 82 STREET",108,MANHATTAN,40.774871,-73.952333,1,rooftop,331,"E 82nd St",,,"New York",NY,"New York County",10028,US,"City of New York"
"1661 54 STREET",312,BROOKLYN,40.764544,-73.983083,0.6,street_center,,"W 54th St",,,"New York",NY,"New York County",10019,US,"TIGER/Line® dataset from the US Census Bureau"
"136-15 38 AVENUE",407,QUEENS,40.750516,-73.981414,0.8,nearest_rooftop_match,15,"E 38th St",,,"New York",NY,"New York County",10016,US,"City of New York"
"49 WEST  128 STREET",110,MANHATTAN,40.80913,-73.941982,1,range_interpolation,49,"W 128th St",,,"New York",NY,"New York County",10027,US,"TIGER/Line® dataset from the US Census Bureau"
"42-61 SAULL STREET",407,QUEENS,40.752658,-73.82927,0.8,range_interpolation,42,"Saull St",,,Flushing,NY,"Queens County",11355,US,"TIGER/Line® dataset from the US Census Bureau"
"226 WITHERS STREET",301,BROOKLYN,40.717439,-73.942588,0.9,range_interpolation,226,"Withers St",,,Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"4746 WHITE PLAINS ROAD",212,BRONX,40.717737,-74.002877,0.7,street_center,,"White St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
"65-27 ROOSEVELT AVENUE",402,QUEENS,40.725492,-73.98375,0.77,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"1110 CASTLETON AVENUE",501,"STATEN ISLAND",40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"699 JEFFERSON AVENUE",303,BROOKLYN,40.685728,-73.930682,0.9,range_interpolation,699,"Jefferson Ave",,,Brooklyn,NY,"Kings County",11221,US,"TIGER/Line® dataset from the US Census Bureau"
"23-10 45 AVENUE",402,QUEENS,40.754947,-73.978696,0.8,nearest_rooftop_match,10,"E 45th St",,,"New York",NY,"New York County",10017,US,"City of New York"
"726 8 AVENUE",105,MANHATTAN,40.759143,-73.988231,1,range_interpolation,726,"8th Ave",,,"New York",NY,"New York County",10036,US,"TIGER/Line® dataset from the US Census Bureau"
"807 WASHINGTON AVENUE",308,BROOKLYN,40.673784,-73.963177,0.9,range_interpolation,807,"Washington Ave",,,Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"17 HANOVER PLACE",302,BROOKLYN,40.705833,-74.008724,1,range_interpolation,17,"Hanover St",,,"New York",NY,"New York County",10005,US,"TIGER/Line® dataset from the US Census Bureau"
"116 HOPE STREET",301,BROOKLYN,40.71219,-73.953578,0.9,range_interpolation,116,"Hope St",,,Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"30-41 31 STREET",401,QUEENS,40.745525,-73.983281,0.8,nearest_rooftop_match,41,"E 31st St",,,"New York",NY,"New York County",10016,US,"City of New York"
"537 SACKETT STREET",306,BROOKLYN,40.680356,-73.988363,0.9,range_interpolation,537,"Sackett St",,,Brooklyn,NY,"Kings County",11217,US,"TIGER/Line® dataset from the US Census Bureau"
"1475 60 STREET",312,BROOKLYN,40.762647,-73.967049,0.6,street_center,,"E 60th St",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"210 NORTH 12 STREET",301,BROOKLYN,40.737344,-74.001188,0.9,range_interpolation,210,"W 12th St",,,"New York",NY,"New York County",10011,US,"TIGER/Line® dataset from the US Census Bureau"
"1091 AMSTERDAM AVENUE",109,MANHATTAN,40.804924,-73.962174,1,rooftop,1091,"Amsterdam Ave",,,"New York",NY,"New York County",10025,US,"City of New York"
"1504 MACOMBS ROAD",204,BRONX,40.826674,-73.938206,0.7,street_center,,"Macombs Pl",,,"New York",NY,"New York County",10039,US,"TIGER/Line® dataset from the US Census Bureau"
"50 BUFFALO AVENUE",303,BROOKLYN,40.725492,-73.98375,0.86,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"1518 1 AVENUE",108,MANHATTAN,40.772402,-73.952478,1,range_interpolation,1518,"1st Ave",,,"New York",NY,"New York County",10075,US,"TIGER/Line® dataset from the US Census Bureau"
"156 SOMERS STREET",316,BROOKLYN,40.679247,-73.905765,0.9,range_interpolation,156,"Somers St",,,Brooklyn,NY,"Kings County",11233,US,"TIGER/Line® dataset from the US Census Bureau"
"20-10 MOTT AVENUE",414,QUEENS,40.714058,-73.998615,0.85,nearest_rooftop_match,10,"Mott St",,,"New York",NY,"New York County",10013,US,"City of New York"
"150 EAST   91 STREET",108,MANHATTAN,40.782532,-73.95326,1,range_interpolation,150,"E 91st St",,,"New York",NY,"New York County",10128,US,"TIGER/Line® dataset from the US Census Bureau"
"42-22 ORCHARD STREET",402,QUEENS,40.715385,-73.991532,0.9,nearest_rooftop_match,22,"Orchard St",,,"New York",NY,"New York County",10002,US,"City of New York"
"32-10 111 STREET",403,QUEENS,40.798078,-73.950478,0.8,nearest_rooftop_match,32,"W 111th St",,,"New York",NY,"New York County",10026,US,"City of New York"
"3916 15 AVENUE",312,BROOKLYN,40.733806,-73.986062,0.6,street_center,,"E 15th St",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
"45-26 PEARSON STREET",402,QUEENS,40.745438,-73.944656,0.8,range_interpolation,45,"Pearson St",,,"Long Island City",NY,"Queens County",11101,US,"TIGER/Line® dataset from the US Census Bureau"
"600 CROWN STREET",309,BROOKLYN,40.665765,-73.938753,0.9,range_interpolation,600,"Crown St",,,Brooklyn,NY,"Kings County",11213,US,"TIGER/Line® dataset from the US Census Bureau"
"1370 VIRGINIA AVENUE",209,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"141-37 71 AVENUE",408,QUEENS,40.776728,-73.979281,0.8,range_interpolation,141,"W 71st St",,,"New York",NY,"New York County",10023,US,"TIGER/Line® dataset from the US Census Bureau"
"3 EAST   89 STREET",108,MANHATTAN,40.78332,-73.958397,1,rooftop,3,"E 89th St",,,"New York",NY,"New York County",10128,US,"City of New York"
"279 SUMPTER STREET",316,BROOKLYN,40.680812,-73.913791,0.9,rooftop,279,"Sumpter St",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
"1091 AMSTERDAM AVENUE",NA,MANHATTAN,40.804924,-73.962174,1,rooftop,1091,"Amsterdam Ave",,,"New York",NY,"New York County",10025,US,"City of New York"
"836 EAST 165 STREET",203,BRONX,40.839005,-73.940234,0.6,street_center,,"W 165th St",,,"New York",NY,"New York County",10032,US,"TIGER/Line® dataset from the US Census Bureau"
"183 CHRYSTIE STREET",103,MANHATTAN,40.721605,-73.992259,1,range_interpolation,183,"Chrystie St",,,"New York",NY,"New York County",10002,US,"TIGER/Line® dataset from the US Census Bureau"
"6315 FT HAMILTON PARKWAY",310,BROOKLYN,40.63131,-74.007911,0.9,nearest_rooftop_match,6311,"Ft Hamilton Pkwy",,,Brooklyn,NY,"Kings County",11219,US,"City of New York"
"2781 COYLE STREET",315,BROOKLYN,40.585488,-73.934402,0.9,range_interpolation,2781,"Coyle St",,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
"103 EAST 29 STREET",105,MANHATTAN,40.744024,-73.98346,1,range_interpolation,103,"E 29th St",,,"New York",NY,"New York County",10016,US,"TIGER/Line® dataset from the US Census Bureau"
"37-18 BROADWAY",401,QUEENS,40.706455,-74.013063,0.9,range_interpolation,37,Broadway,,,"New York",NY,"New York County",10006,US,"TIGER/Line® dataset from the US Census Bureau"
"8720 18 AVENUE",311,BROOKLYN,40.735537,-73.985214,0.6,street_center,,"E 18th St",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
"146 BAYARD STREET",301,BROOKLYN,40.716195,-73.999568,1,range_interpolation,146,"Bayard St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
"1110 SURF AVENUE",313,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"95 GATEWAY DRIVE",305,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"461 ALABAMA AVENUE",305,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"122 WAVERLY AVENUE",302,BROOKLYN,40.732582,-73.999591,0.95,rooftop,122,"Waverly Pl",,,"New York",NY,"New York County",10011,US,"City of New York"
"97-11 SUTPHIN BOULEVARD",412,QUEENS,40.696805,-73.805416,0.8,range_interpolation,97,"Sutphin Blvd",,,Jamaica,NY,"Queens County",11435,US,"TIGER/Line® dataset from the US Census Bureau"
"186 BEDFORD AVENUE",301,BROOKLYN,40.733124,-74.005595,0.95,range_interpolation,186,"Bedford St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
"794 CLASSON AVENUE",308,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
